run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,5,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,5,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,5,medical_training,0.0,0.0
neural_baseline_lambda_s_0,5,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,5,music_composition,0.0,0.0
neural_baseline_lambda_s_0,5,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,5,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,5,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,5,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,5,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,5,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,5,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,5,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,5,research_publications,0.0,0.0
neural_baseline_lambda_s_0,5,scientific_or_lab_research,0.0,0.0
neural_baseline_lambda_s_0,5,software_development,0.0,0.0
neural_baseline_lambda_s_0,5,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,5,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,5,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,5,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,5,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,5,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,6,clinical_care,363.8,223.32084542200712
neural_baseline_lambda_s_0,6,design_work,229.4,276.2938652956305
neural_baseline_lambda_s_0,6,legal_or_regulatory_work,208.0,292.24304953240545
neural_baseline_lambda_s_0,6,nursing_care,193.2,143.78699523948612
neural_baseline_lambda_s_0,6,visual_art_practice,181.6,264.0138253955652
neural_baseline_lambda_s_0,6,female_pronouns,150.6,307.4553626138273
neural_baseline_lambda_s_0,6,male_pronouns,149.8,206.25275755732332
neural_baseline_lambda_s_0,6,literary_writing,115.2,178.1227105116021
neural_baseline_lambda_s_0,6,live_music_or_recording,113.4,205.8271119167735
neural_baseline_lambda_s_0,6,creative_or_artistic_work,108.8,172.97022865221635
neural_baseline_lambda_s_0,6,film_or_video_production,88.6,131.98408995026634
neural_baseline_lambda_s_0,6,technical_or_engineering_work,50.8,113.59225325698932
neural_baseline_lambda_s_0,6,dental_or_oral_health,45.6,48.428297512921105
neural_baseline_lambda_s_0,6,camera_or_photography_work,1.2,2.6832815729997477
neural_baseline_lambda_s_0,6,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,6,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,6,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,6,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,6,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,6,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,6,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,6,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,6,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,6,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,6,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,6,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,6,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,6,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,6,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,6,health_or_wellness_work,0.0,0.0
neural_baseline_lambda_s_0,6,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,6,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,6,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,6,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,6,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,6,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,6,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,6,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,6,medical_training,0.0,0.0
neural_baseline_lambda_s_0,6,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,6,music_composition,0.0,0.0
neural_baseline_lambda_s_0,6,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,6,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,6,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,6,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,6,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,6,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,6,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,6,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,6,research_publications,0.0,0.0
neural_baseline_lambda_s_0,6,scientific_or_lab_research,0.0,0.0
