run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,4,17,0.536,0.5393287060857085,0.5172057151794434
neural_baseline_lambda_s_0,4,18,0.5435,0.5459604760987901,0.5238538384437561
neural_baseline_lambda_s_0,4,19,0.5545,0.5559415353890919,0.5249248743057251
neural_baseline_lambda_s_0,4,20,0.553,0.557217068268579,0.5196650624275208
neural_claq_lambda_s_0_4,4,0,0.0355,0.0024487825067255296,0.04925420507788658
neural_claq_lambda_s_0_4,4,1,0.0675,0.010244912945803162,0.0763886496424675
neural_claq_lambda_s_0_4,4,2,0.122,0.05974441933441684,0.145466148853302
neural_claq_lambda_s_0_4,4,3,0.156,0.08008682406646861,0.19352073967456818
neural_claq_lambda_s_0_4,4,4,0.2265,0.153763914429146,0.26121947169303894
neural_claq_lambda_s_0_4,4,5,0.2745,0.20646631511466973,0.3176048994064331
neural_claq_lambda_s_0_4,4,6,0.2975,0.22834020566732066,0.3372113108634949
neural_claq_lambda_s_0_4,4,7,0.3265,0.25828164713555,0.3707053065299988
neural_claq_lambda_s_0_4,4,8,0.37,0.3093283259582131,0.4018392264842987
neural_claq_lambda_s_0_4,4,9,0.374,0.31240024277404693,0.4073420464992523
neural_claq_lambda_s_0_4,4,10,0.4265,0.3783823929582402,0.4387418329715729
neural_claq_lambda_s_0_4,4,11,0.4395,0.40156292147877615,0.43597158789634705
neural_claq_lambda_s_0_4,4,12,0.436,0.40187337157152736,0.43327051401138306
neural_claq_lambda_s_0_4,4,13,0.439,0.4195085559425685,0.44097229838371277
neural_claq_lambda_s_0_4,4,14,0.4555,0.43609780407497173,0.4393694996833801
neural_claq_lambda_s_0_4,4,15,0.4565,0.4403361835897871,0.43836939334869385
neural_claq_lambda_s_0_4,4,16,0.4615,0.437236108975745,0.4456409811973572
neural_claq_lambda_s_0_4,4,17,0.468,0.45481036912268863,0.454552561044693
neural_claq_lambda_s_0_4,4,18,0.474,0.46560361276410994,0.4609527289867401
neural_claq_lambda_s_0_4,4,19,0.4785,0.4774237857810934,0.4657798111438751
neural_claq_lambda_s_0_4,4,20,0.492,0.4944483475878531,0.4671640396118164
